F1 macro,F1 micro,F1 weighted,ROC AUC macro,precision macro,recall macro,label name,F1 - label,ROC AUC - label,precision - label,recall - label,accuracy - label,batch_size,weight_decay,learning_rate,num_epochs,class_weight
0.2959614777047858,0.7058823529411763,0.6359723944185679,-1.0,0.3846590909090909,0.3401960784313725,,,,,,,16,0.0,5e-05,4,-1
,,,,,,oro_type.CDR-BioPump,0.6666666666666666,0.9772727272727272,1.0,0.5,0.99009900990099,16,0.0,5e-05,4,-1
,,,,,,oro_type.MRE-Ocean,0.8387096774193549,0.933543307086614,0.8125,0.8666666666666667,0.8762376237623762,16,0.0,5e-05,4,-1
,,,,,,oro_type.MRE-Bio,0.0,0.6883248730964467,0.0,0.0,0.9752475247524752,16,0.0,5e-05,4,-1
,,,,,,oro_type.CDR-Cult,0.0,-1.0,0.0,0.0,1.0,16,0.0,5e-05,4,-1
,,,,,,oro_type.CDR-OAE,0.2222222222222222,0.9850746268656716,0.125,1.0,0.9653465346534652,16,0.0,5e-05,4,-1
,,,,,,oro_type.CDR-BC,0.3809523809523809,0.9987281399046104,1.0,0.2352941176470588,0.9356435643564356,16,0.0,5e-05,4,-1
,,,,,,oro_type.Efficiency,0.0,0.948501872659176,0.0,0.0,0.8811881188118812,16,0.0,5e-05,4,-1
,,,,,,oro_type.MRE-Located,0.8510638297872342,0.9505511811023624,0.9090909090909092,0.8,0.8960396039603961,16,0.0,5e-05,4,-1
,,,,,,oro_type.CDR-Other,0.0,-1.0,0.0,0.0,1.0,16,0.0,5e-05,4,-1
,,,,,,oro_type.CCS,0.0,0.997964997964998,0.0,0.0,0.9356435643564356,16,0.0,5e-05,4,-1
